Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Zonas,Categoria,Optional Column
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:31:01,00:31:07,6.000,,14,Rival,3,8,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:31:16,00:31:22,6.000,,10,10,6,2,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:31:19,00:31:25,6.000,,Volver,,10,13,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:31:44,00:31:50,6.000,,13,9,3,10,Lateral corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:31:45,00:31:51,6.000,,Volver,,9,13,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:32:08,00:32:14,6.000,,10,5,3,7,Lateral corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:32:10,00:32:16,6.000,,Volver,,5,14,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:32:17,00:32:23,6.000,,Volver,,8,10,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:32:19,00:32:25,6.000,,16,9,8,10,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:32:21,00:32:27,6.000,,16,9,8,10,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:32:58,00:33:04,6.000,,Volver,,5,8,Robo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:33:04,00:33:10,6.000,,14,10,5,14,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Duelo,,00:33:06,00:33:12,6.000,,Volver,,10,17,Gambeta a favor,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Falta,,00:33:10,00:33:16,6.000,,Volver,,10,17,Recibida,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:34:11,00:34:17,6.000,,Volver,,8,17,Tiro libre,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Remate cabeza,,00:34:13,00:34:19,6.000,,Volver,2,2,23,Facil,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:34:17,00:34:23,6.000,,Volver,,2,23,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:35:16,00:35:22,6.000,,Volver,,4,8,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:35:18,00:35:24,6.000,,11,10,4,8,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:35:25,00:35:31,6.000,,17,9,10,11,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Falta,,00:35:26,00:35:32,6.000,,Volver,,9,18,Hecha,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:36:20,00:36:26,6.000,,Volver,,6,8,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:36:48,00:36:54,6.000,,Volver,,1,3,Saque de meta,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:36:48,00:36:54,6.000,,5,2,1,3,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:36:58,00:37:04,6.000,,10,5,3,7,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:36:58,00:37:04,6.000,,Volver,,5,10,Error tecnico,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:37:01,00:37:07,6.000,,Volver,,10,7,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:37:03,00:37:09,6.000,,7,6,10,7,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:37:55,00:38:01,6.000,,9,5,4,9,Lateral corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:37:58,00:38:04,6.000,,12,5,4,9,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:38:19,00:38:25,6.000,,Volver,,6,5,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:38:24,00:38:30,6.000,,12,Rival,6,5,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:38:25,00:38:31,6.000,,Volver,,6,5,Error tecnico,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:38:48,00:38:54,6.000,,Volver,,10,10,Encontrada,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:38:50,00:38:56,6.000,,16,9,10,10,inteligente,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Duelo,,00:38:55,00:39:01,6.000,,Volver,,9,17,Gambeta a favor,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:38:57,00:39:03,6.000,,Volver,,9,17,Duelo,
