Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Jugador,Calificacion,Zonas,Categoria,Optional Column
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:25:30,00:25:30,0.000,10,3,5,,11,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:25:33,00:25:33,0.000,8,1,3,,7,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:25:36,00:25:36,0.000,8,5,1,,8,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:25:39,00:25:39,0.000,9,2,5,,8,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:25:46,00:25:46,0.000,17,9,2,,9,largo,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:25:46,00:25:46,0.000,Volver,,2,,9,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:27:26,00:27:26,0.000,14,8,1,,3,S arquero pie,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:27:43,00:27:43,0.000,18,4,5,,18,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:27:47,00:27:47,0.000,21,10,4,,18,centro aereo,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Falta,,00:27:51,00:27:51,0.000,Volver,,7,,21,Hecha,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Arquero,,00:28:26,00:28:26,0.000,Volver,,1,Bueno,4,Salvada/Atajada,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:28:46,00:28:46,0.000,5,2,1,,3,S arquero pie,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:28:53,00:28:53,0.000,12,4,2,,9,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:28:56,00:28:56,0.000,12,2,4,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:28:58,00:28:58,0.000,12,8,2,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:02,00:29:02,0.000,8,6,8,,11,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:05,00:29:05,0.000,7,3,6,,8,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:08,00:29:08,0.000,16,11,3,,7,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:13,00:29:13,0.000,13,3,11,,16,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:17,00:29:17,0.000,10,6,3,,13,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:20,00:29:20,0.000,9,2,6,,8,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:24,00:29:24,0.000,12,4,2,,9,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:27,00:29:27,0.000,9,2,4,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:30,00:29:30,0.000,8,6,2,,9,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:33,00:29:33,0.000,7,3,6,,7,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:35,00:29:35,0.000,16,9,3,,10,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:29:36,00:29:36,0.000,Volver,,3,,10,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Arquero,,00:29:44,00:29:44,0.000,Volver,,1,,8,Rebote/Despeje,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:47,00:29:47,0.000,7,6,1,,8,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:50,00:29:50,0.000,13,9,6,,7,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:52,00:29:52,0.000,10,3,9,,13,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:54,00:29:54,0.000,13,11,3,,10,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:29:56,00:29:56,0.000,13,8,11,,13,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:29:56,00:29:56,0.000,Volver,,11,,13,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:30:28,00:30:28,0.000,12,4,8,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:30:30,00:30:30,0.000,15,7,4,,15,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Falta,,00:30:52,00:30:52,0.000,Volver,,9,,14,Hecha,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:31:47,00:31:47,0.000,2,6,1,,3,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:31:49,00:31:49,0.000,1,3,6,,2,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:31:52,00:31:52,0.000,10,10,3,,7,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:31:53,00:31:53,0.000,10,11,10,,10,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:31:58,00:31:58,0.000,10,5,11,,10,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:32:02,00:32:02,0.000,15,4,5,,10,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:32:15,00:32:15,0.000,18,5,2,,18,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:32:17,00:32:17,0.000,18,2,5,,18,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:32:20,00:32:20,0.000,14,6,2,,18,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:32:23,00:32:23,0.000,16,9,6,,14,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:32:24,00:32:24,0.000,Volver,,6,,14,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:13,00:33:13,0.000,11,8,9,,11,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:16,00:33:16,0.000,12,4,8,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:18,00:33:18,0.000,12,8,4,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:22,00:33:22,0.000,11,5,8,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:32,00:33:32,0.000,12,8,5,,11,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:34,00:33:34,0.000,15,4,8,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:39,00:33:39,0.000,12,2,4,,18,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:44,00:33:44,0.000,10,6,2,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:46,00:33:46,0.000,13,3,6,,10,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:51,00:33:51,0.000,16,9,3,,13,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:33:56,00:33:56,0.000,17,10,9,,16,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:33:56,00:33:56,0.000,Volver,,9,,16,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:34:17,00:34:17,0.000,16,3,11,,16,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:34:18,00:34:18,0.000,16,11,3,,16,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:34:18,00:34:18,0.000,Volver,,3,,16,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Falta,,00:34:26,00:34:26,0.000,Volver,,8,,17,Hecha,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:36:23,00:36:23,0.000,12,4,5,,11,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:36:27,00:36:27,0.000,12,2,4,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:36:30,00:36:30,0.000,7,6,2,,9,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:36:33,00:36:33,0.000,9,2,6,,7,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:36:36,00:36:36,0.000,15,8,2,,9,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:36:36,00:36:36,0.000,Volver,,2,,9,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:37:17,00:37:17,0.000,13,5,10,,13,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:37:19,00:37:19,0.000,11,8,5,,13,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:37:22,00:37:22,0.000,15,4,8,,11,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:37:26,00:37:26,0.000,15,4,4,,15,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:37:28,00:37:28,0.000,15,8,4,,15,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:37:33,00:37:33,0.000,15,4,4,,15,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:37:34,00:37:34,0.000,Volver,,8,,15,Interceptado,
