Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:43:08,00:43:14,6.000,Ataque Directo,3,Pase largo,7,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:43:12,00:43:23,10.948,Ataque Directo,9,Pase corto,8,9,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:43:21,00:43:27,6.000,Ataque Directo,11,Remate pie,9,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:43:25,00:43:31,6.000,Ataque Directo,11,Gol,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:47:39,00:47:45,6.000,Pelota Parada,Rival,Tiro libre,7,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:48:27,00:48:33,6.000,Pelota Parada,Rival,Remate atajado,7,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:49:09,00:49:15,6.000,Pelota Parada,Rival,Recuperacion,7,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:49:24,00:49:30,6.000,Pelota Parada,11,Penal,7,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:49:43,00:49:49,6.000,Pelota Parada,Rival,Penal,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:49:53,00:49:59,6.000,Pelota Parada,Rival,Remate atajado,8,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:49:59,00:50:05,6.000,Pelota Parada,Rival,Remate pie,8,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:50:06,00:50:12,6.000,Pelota Parada,Rival,Gol,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:10:14,01:10:20,6.000,Ataque combinado,10,Disputa aereo,6,6,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:10:18,01:10:24,6.000,Ataque combinado,11,Pase corto,6,9,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:10:22,01:10:28,6.000,Ataque combinado,9,Remate atajado,9,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,01:12:19,01:12:25,6.000,Pelota Parada,Rival,Corner,7,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,01:12:37,01:12:43,6.000,Pelota Parada,Rival,Centro,7,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,01:12:41,01:12:47,6.000,Pelota Parada,Rival,Remate pie,8,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,01:12:44,01:12:50,6.000,Pelota Parada,Rival,Gol,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:33:26,01:33:32,6.000,Pelota Parada,10,Corner,9,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:33:30,01:33:36,6.000,Pelota Parada,10,Centro,9,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:33:35,01:33:41,6.000,Pelota Parada,6,Remate bloq,8,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:42:55,01:43:01,6.000,Pelota Parada,10,Corner,9,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:43:00,01:43:08,8.020,Pelota Parada,10,Centro,9,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:43:06,01:43:12,6.000,Pelota Parada,6,Remate atajado,8,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:48:07,01:48:13,6.000,Ataque combinado,6,Pase corto,2,4,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:48:15,01:48:21,6.000,Ataque combinado,3,Pase corto,4,5,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:48:20,01:48:26,6.000,Ataque combinado,Suplente 1,Pase largo,5,9,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,01:48:25,01:48:31,6.000,Ataque combinado,Suplente 2,Remate atajado,9,8,
