Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:32:27,00:32:27,0.000,Volver,,,11,6,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:40,00:32:40,0.000,8,1,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:48,00:32:48,0.000,14,9,,8,1,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:32:49,00:32:49,0.000,17,7,,14,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:32:50,00:32:50,0.000,Volver,,,14,9,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:32:54,00:32:54,0.000,Volver,,,14,9,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Remate pie,,00:34:01,00:34:01,0.000,22,Rival,,17,5,Corta distancia,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:34:02,00:34:02,0.000,Volver,,,17,5,Balon afuera fondo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:37:05,00:37:05,0.000,7,8,,3,1,S arquero pie,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:37:05,00:37:05,0.000,Volver,,,3,1,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:23,00:38:23,0.000,14,7,,3,1,largo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:23,00:38:23,0.000,14,7,,17,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:25,00:38:25,0.000,17,11,,14,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:38:31,00:38:31,0.000,Volver,,,14,7,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:36,00:38:36,0.000,11,4,,10,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:38,00:38:38,0.000,14,7,,11,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:38:58,00:38:58,0.000,10,10,,10,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:39:27,00:39:27,0.000,Volver,,,16,5,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:41:59,00:41:59,0.000,Volver,,,16,11,Hecha,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:42:22,00:42:22,0.000,Volver,,,10,5,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:30,00:42:30,0.000,15,8,,15,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:38,00:42:38,0.000,8,6,,14,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:38,00:42:38,0.000,8,6,,14,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:41,00:42:41,0.000,9,2,,8,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:44,00:42:44,0.000,8,1,,9,2,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:42:48,00:42:48,0.000,14,11,,8,1,largo,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:42:49,00:42:49,0.000,Volver,,,14,11,Hecha,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:43:15,00:43:15,0.000,Volver,,,15,8,Hecha,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:44:09,00:44:09,0.000,Volver,,,12,9,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Arquero,,00:44:31,00:44:31,0.000,Volver,,,16,1,Rebote/Despeje,
