Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:39:24,00:39:24,0.000,2,Encontrada,,6,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Pelota parada,,00:39:45,00:39:45,0.000,7,Lateral largo,9,3,10,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:39:49,00:39:49,0.000,10,Balon afuera lateral,,9,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:40:15,00:40:15,0.000,3,Intercepcion,,2,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:41:31,00:41:31,0.000,10,Interceptado,10,3,13,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:41:37,00:41:37,0.000,7,Encontrada,,6,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:41:43,00:41:43,0.000,14,Error tecnico,,9,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Duelo,,00:42:06,00:42:06,0.000,13,Disputa suelo,,10,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:42:07,00:42:07,0.000,13,Robo,,10,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Pelota parada,,00:42:32,00:42:32,0.000,19,Lateral corto,11,3,19,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:42:36,00:42:36,0.000,19,Error tecnico,,10,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:42:40,00:42:40,0.000,10,intercepcion anticipo,,6,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Duelo,,00:42:49,00:42:49,0.000,10,Gambeta a favor,,8,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Pelota parada,,00:43:02,00:43:02,0.000,10,Tiro libre,6,8,7,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Duelo,,00:43:20,00:43:20,0.000,14,Aereo,,9,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Duelo,,00:43:22,00:43:22,0.000,14,Gambeta a favor,,9,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Pelota parada,,00:43:48,00:43:48,0.000,19,Lateral largo,9,3,20,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:43:49,00:43:49,0.000,20,Robo,,9,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:43:53,00:43:53,0.000,16,Intercepcion,,5,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:44:01,00:44:01,0.000,19,Robo,,11,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:44:04,00:44:04,0.000,13,intercepcion anticipo aereo,,6,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:44:10,00:44:10,0.000,17,Error tactico,,9,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:44:50,00:44:50,0.000,2,Intercepcion,,6,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:45:03,00:45:03,0.000,7,Error tecnico,,10,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:45:38,00:45:38,0.000,4,Intercepcion,,4,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Duelo,,00:45:58,00:45:58,0.000,15,Aereo,,7,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:45:59,00:45:59,0.000,15,Duelo,,7,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:46:25,00:46:25,0.000,8,Encontrada,,2,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:46:32,00:46:32,0.000,15,Error tecnico,,7,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:46:54,00:46:54,0.000,11,Encontrada,,7,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:47:08,00:47:08,0.000,18,Robo,,7,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:47:11,00:47:11,0.000,14,intercepcion anticipo,,6,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Duelo,,00:47:19,00:47:19,0.000,16,Disputa suelo,,11,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:47:20,00:47:20,0.000,16,Robo,,11,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:47:46,00:47:46,0.000,5,Robo,,8,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:47:59,00:47:59,0.000,9,Interceptado,,5,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:48:03,00:48:03,0.000,9,intercepcion anticipo,,2,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Pelota parada,,00:48:39,00:48:39,0.000,12,Tiro libre,2,4,9,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Duelo,,00:48:49,00:48:49,0.000,10,Gambeta a favor,,8,Volver,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Perdida,,00:48:52,00:48:52,0.000,11,Interceptado,11,5,16,
2022/05/08,CENTRAL_PPRP,CENTRAL_PPRP1,09:22:43,11:51:30,Recuperacion,,00:49:31,00:49:31,0.000,12,Duelo,,8,Volver,
