Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Jugador,Calificacion,Zonas,Categoria,Optional Column
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:28:11,00:28:11,0.000,5,2,1,,3,S arquero pie,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:28:18,00:28:18,0.000,12,10,5,,9,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:28:16,00:28:16,0.000,9,5,2,,5,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:28:42,00:28:42,0.000,11,2,5,,15,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:28:48,00:28:48,0.000,17,7,2,,14,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:28:52,00:28:52,0.000,17,10,7,,17,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:28:55,00:28:55,0.000,21,7,10,,17,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Remate pie,,00:28:56,00:28:56,0.000,22,Rival,7,,21,Corta distancia,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Falta,,00:29:47,00:29:47,0.000,Volver,,8,,14,Hecha,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Tarjeta,,00:29:48,00:29:48,0.000,Volver,,8,,14,Amarilla,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:30:21,00:30:21,0.000,8,2,8,,11,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:30:26,00:30:26,0.000,8,6,2,,8,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:30:29,00:30:29,0.000,11,5,6,,8,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:30:31,00:30:31,0.000,10,8,5,,11,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:30:34,00:30:34,0.000,16,11,8,,13,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:30:37,00:30:37,0.000,16,7,11,,16,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:30:52,00:30:52,0.000,10,5,8,,13,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:30:56,00:30:56,0.000,8,6,5,,10,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:31:00,00:31:00,0.000,12,4,6,,8,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:31:04,00:31:04,0.000,23,10,4,,15,largo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:31:07,00:31:07,0.000,21,11,10,,23,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:31:08,00:31:08,0.000,Volver,,10,,23,Robo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:31:17,00:31:17,0.000,16,3,8,,13,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Remate pie,,00:31:24,00:31:24,0.000,22,Rival,3,,16,Media distancia,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:32:57,00:32:57,0.000,8,6,5,,11,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:33:00,00:33:00,0.000,8,2,6,,8,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:33:06,00:33:06,0.000,13,3,2,,10,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:33:07,00:33:07,0.000,13,7,3,,13,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:34:01,00:34:01,0.000,3,1,2,,2,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:34:05,00:34:05,0.000,2,2,1,,3,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:34:12,00:34:12,0.000,4,6,2,,7,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:34:16,00:34:16,0.000,7,2,6,,8,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:34:18,00:34:18,0.000,10,3,2,,8,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:34:19,00:34:19,0.000,10,8,3,,10,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:34:24,00:34:24,0.000,7,2,8,,10,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:34:30,00:34:30,0.000,17,9,2,,7,largo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:34:31,00:34:31,0.000,Volver,,2,,7,Interceptado,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Falta,,00:35:54,00:35:54,0.000,Volver,,4,,9,Recibida,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:36:20,00:36:20,0.000,2,2,1,,4,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Falta,,00:36:40,00:36:40,0.000,Volver,,10,,12,Recibida,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:36:56,00:36:56,0.000,21,7,8,,20,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Remate pie,,00:36:57,00:36:57,0.000,22,Rival,7,,21,Corta distancia,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:36:53,00:36:53,0.000,16,8,3,,16,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:38:31,00:38:31,0.000,10,3,6,,8,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:38:37,00:38:37,0.000,21,9,3,,16,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:38:38,00:38:38,0.000,Volver,,3,,16,Interceptado,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:38:46,00:38:46,0.000,4,1,2,,10,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:38:52,00:38:52,0.000,11,5,1,,4,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:38:55,00:38:55,0.000,11,4,5,,11,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:38:56,00:38:56,0.000,11,5,4,,11,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:39:03,00:39:03,0.000,18,11,5,,11,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:39:04,00:39:04,0.000,Volver,,5,,11,Balon afuera lateral,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:40:40,00:40:40,0.000,16,5,8,,16,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:40:44,00:40:44,0.000,11,6,5,,13,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:40:47,00:40:47,0.000,15,4,6,,14,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:40:53,00:40:53,0.000,17,9,4,,15,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:40:55,00:40:55,0.000,14,5,9,,17,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:40:59,00:40:59,0.000,Volver,,5,,14,Interceptado,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Falta,,00:41:07,00:41:07,0.000,Volver,,5,,11,Hecha,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:43:40,00:43:40,0.000,9,4,5,,8,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:43:44,00:43:44,0.000,11,9,4,,12,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:43:46,00:43:46,0.000,8,5,9,,11,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:43:50,00:43:50,0.000,13,3,5,,8,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:43:53,00:43:53,0.000,16,11,3,,13,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Falta,,00:43:56,00:43:56,0.000,Volver,,11,,16,Recibida,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Falta,,00:45:55,00:45:55,0.000,Volver,,7,,10,Hecha,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:48:36,00:48:36,0.000,13,9,1,,3,S arquero pie,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:48:39,00:48:39,0.000,16,7,9,,13,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:48:41,00:48:41,0.000,Volver,,9,,13,Robo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:56:19,00:56:19,0.000,15,5,4,,15,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:56:21,00:56:21,0.000,12,6,5,,15,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:56:32,00:56:32,0.000,4,1,6,,9,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:56:36,00:56:36,0.000,10,2,1,,4,largo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:56:43,00:56:43,0.000,21,9,2,,16,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:56:48,00:56:48,0.000,17,10,9,,17,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:56:51,00:56:51,0.000,14,4,10,,17,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:56:55,00:56:55,0.000,13,3,4,,14,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,01:15:31,01:15:31,0.000,9,2,5,,11,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,01:15:42,01:15:42,0.000,23,7,2,,9,largo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,01:15:42,01:15:42,0.000,23,7,17,,9,largo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,01:16:54,01:16:54,0.000,14,10,8,,13,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,01:16:57,01:16:57,0.000,13,5,10,,14,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,01:17:54,01:17:54,0.000,12,6,5,,14,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,01:17:59,01:17:59,0.000,13,3,6,,12,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,01:17:59,01:17:59,0.000,Volver,,6,,12,Error tactico,
