Partido,Situacion,Evento,Subevento,Tiempo_inicial,Tiempo_final,Jugador,Zonas_Inicial,Zonas_Final
Boca,En contra,Pase corto,Ataque combinado,01:54:39,01:54:45,Rival,4,5
Boca,En contra,Pase corto,Ataque combinado,01:54:45,01:54:51,Rival,5,5
Boca,En contra,Pase largo,Ataque combinado,01:54:48,01:54:54,Rival,5,9
Boca,En contra,Centro,Ataque combinado,01:54:51,01:54:57,Rival,9,8
Boca,En contra,Remate bloq,Ataque combinado,01:54:56,01:55:02,Rival,8,8
Boca,En contra,Recuperacion,Transición,02:08:10,02:08:16,Rival,5,Volver
Boca,En contra,Pase corto,Transición,02:08:15,02:08:21,Rival,5,8
Boca,En contra,Remate atajado,Transición,02:08:18,02:08:24,Rival,8,8
Boca,A favor,Tiro libre,Pelota Parada,02:12:45,02:12:51,8,4,Volver
Boca,A favor,Centro,Pelota Parada,02:12:49,02:12:55,8,4,8
Boca,A favor,Remate Aereo,Pelota Parada,02:12:56,02:13:02,Suplente 1,8,8
Independiente,A favor,Lateral,Pelota Parada,00:07:23,00:07:29,4,6,6
Independiente,A favor,Disputa aereo,Pelota Parada,00:07:25,00:07:31,11,6,6
Independiente,A favor,Gambeta,Pelota Parada,00:07:27,00:07:33,8,6,9
Independiente,A favor,Centro,Pelota Parada,00:07:37,00:07:44,10,9,8
Independiente,A favor,Pase corto,Pelota Parada,00:07:39,00:07:46,9,8,8
Independiente,A favor,Gambeta,Pelota Parada,00:07:44,00:07:50,7,8,Volver
Independiente,A favor,Penal,Pelota Parada,00:08:00,00:08:06,7,8,Volver
Independiente,A favor,Penal,Pelota Parada,00:08:17,00:08:23,7,8,Volver
Independiente,A favor,Lateral,Pelota Parada,00:09:00,00:09:06,4,3,6
Independiente,A favor,Disputa aereo,Pelota Parada,00:09:04,00:09:10,9,6,Volver
Independiente,A favor,Pase largo,Pelota Parada,00:09:08,00:09:14,9,6,9
Independiente,A favor,Centro,Pelota Parada,00:09:12,00:09:18,11,9,8
Independiente,A favor,Remate bloq,Pelota Parada,00:09:15,00:09:21,7,8,Volver
Independiente,A favor,Falta,Pelota Parada,00:09:21,00:09:27,7,8,Volver
Independiente,En contra,Recuperacion,Ataque Directo,00:14:08,00:14:14,Rival,7,Volver
Independiente,En contra,Centro,Ataque Directo,00:14:13,00:14:23,Rival,7,8
Independiente,En contra,Remate pie,Ataque Directo,00:14:21,00:14:27,Rival,8,8
Independiente,En contra,Gol,Ataque Directo,00:14:26,00:14:32,Rival,8,Volver
Independiente,A favor,Pase corto,Ataque combinado,00:16:42,00:16:48,9,6,5
Independiente,A favor,Pase corto,Ataque combinado,00:16:47,00:16:53,3,5,7
Independiente,A favor,Centro,Ataque combinado,00:16:50,00:16:56,8,7,8
