Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Calificacion,Dificultad,Optional Column
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:26:59,00:26:59,0.000,17,corto,8,9,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:27:02,00:27:02,0.000,17,Robo,,8,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:27:44,00:27:44,0.000,3,S arquero pie,4,1,9,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:27:48,00:27:48,0.000,9,largo,9,4,18,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Remate pie,,00:27:52,00:27:52,0.000,23,Corta distancia,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:27:52,00:27:52,0.000,23,Atajada,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:28:40,00:28:40,0.000,8,Tiro libre,9,6,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Duelo,,00:28:43,00:28:43,0.000,17,Aereo,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:28:43,00:28:43,0.000,17,Duelo,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Falta,,00:28:57,00:28:57,0.000,14,Recibida,,5,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:29:33,00:29:33,0.000,14,Tiro libre,2,11,23,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:29:35,00:29:35,0.000,23,corto,6,2,23,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Remate pie,,00:29:36,00:29:36,0.000,23,Corta distancia,,6,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:29:37,00:29:37,0.000,23,Balon afuera fondo,,6,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:30:19,00:30:19,0.000,9,Intercepcion,,4,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:30:21,00:30:21,0.000,9,corto,10,4,12,,,
