Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Calificacion,Zonas,Categoria,Optional Column
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:09:41,00:09:41,0.000,,3,1,2,,2,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:09:46,00:09:46,0.000,,15,7,1,,3,largo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:09:46,00:09:46,0.000,,Volver,,1,,3,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:10:11,00:10:11,0.000,,Volver,,7,,24,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:12:17,00:12:17,0.000,,Volver,,3,,7,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:12:26,00:12:26,0.000,,9,6,2,,7,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:12:33,00:12:33,0.000,,4,1,6,,9,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:13:29,00:13:29,0.000,,16,10,1,,4,largo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:13:40,00:13:40,0.000,,Volver,,10,,16,Offside,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:15:59,00:15:59,0.000,,5,6,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:16:06,00:16:06,0.000,,15,9,6,,9,largo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:16:06,00:16:06,0.000,,Volver,,6,,9,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:16:24,00:16:24,0.000,,16,10,8,,13,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:16:27,00:16:27,0.000,,Volver,,8,,13,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:18:01,00:18:01,0.000,,Volver,,5,,8,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:18:21,00:18:21,0.000,,Volver,,3,,10,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:20:19,00:20:19,0.000,,9,6,2,,7,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:20:22,00:20:22,0.000,,15,7,6,,9,medio,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:20:22,00:20:22,0.000,,Volver,,6,,9,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:22:06,00:22:06,0.000,,Volver,,7,,11,Hecha,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:23:37,00:23:37,0.000,,2,2,1,,3,S arquero pie,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:23:39,00:23:39,0.000,,3,1,2,,2,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:23:42,00:23:42,0.000,,5,6,1,,3,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:23:47,00:23:47,0.000,,15,9,6,,9,medio,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:23:48,00:23:48,0.000,,15,8,9,,15,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:23:50,00:23:50,0.000,,17,10,8,,15,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:23:51,00:23:51,0.000,,Volver,,8,,15,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:23:54,00:23:54,0.000,,16,9,10,,16,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Falta,,00:23:55,00:23:55,0.000,,Volver,,9,,16,Recibida,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Arquero,,00:26:00,00:26:00,0.000,,Volver,,1,,9,Rebote/Despeje,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:26:25,00:26:25,0.000,,2,2,1,,3,S arquero pie,
