Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Dificultad,Calificacion,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:25:56,00:25:56,0.0,"72,142",corto,Rival,4.0,"98,131",,,,1556.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,71.6063273141653,97.70631523973263,141.8862164805193,130.67145197746814
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,perdida,,00:25:57,00:25:57,0.0,"74,153",interceptado,Rival,4.0,"117,137",,,,1557.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,74.17500647761334,116.57323392703518,153.25385872563447,136.97109236516812
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,despeje,,00:27:36,00:27:36,0.0,"57,70",despeje,Rival,9.0,"201,148",,,,1656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,57.324768314665384,201.44779270375665,69.64189557329033,147.56849603695733
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:27:44,00:27:44,0.0,"107,136",corto,4,8.0,"55,144",,,,1664.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,107.31535570897067,55.36377957725864,136.18269346209624,143.57936176182443
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:27:47,00:27:47,0.0,"47,144",medio,10,4.0,"147,130",,,,1667.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,47.071368923503684,147.42230873050653,143.98812275074076,129.92280610501803
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,perdida,,00:27:47,00:27:47,0.0,"50,144",interceptado,10,4.0,"174,133",,,,1667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,49.7382312804791,173.51874225834325,143.92930002454173,133.49699688774498
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,falta,,00:28:35,00:28:35,0.0,"59,137",recibida,,4.0,,,,,1715.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,59.08593062403099,,137.35062523314477,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:30:01,00:30:01,0.0,"244,114",corto,11,9.0,"230,82",,,,1801.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,243.9908776391462,229.5288509851863,113.7117322575729,82.17778051696094
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:30:54,00:30:54,0.0,"147,140",medio,7,9.0,"187,78",,,,1854.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,147.32163648562434,186.5802367222349,140.44492863832633,77.54107986136958
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,perdida,,00:30:54,00:30:54,0.0,"179,148",interceptado,7,9.0,"196,68",,,,1854.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,178.87111877901773,196.11035311117521,147.69804233659943,68.01518437504714
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:31:10,00:31:10,0.0,"102,33",inteligente,10,3.0,"187,21",,,,1870.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,102.26818350171004,187.3603312061765,33.108576048766125,21.369530825178053
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:31:16,00:31:16,0.0,"271,34",corto,3,10.0,"199,42",,,,1876.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,270.7640178219931,198.83910865976245,33.87924369781223,42.093913920087424
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:31:18,00:31:18,0.0,"213,7",centro aereo,9,3.0,"272,81",,,,1878.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,212.9046865776431,272.0,7.1287402770727475,81.44665445420294
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,perdida,,00:31:18,00:31:18,0.0,"217,21",interceptado,9,3.0,"266,76",,,,1878.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,216.92359266174395,265.900809133716,20.716064993838604,76.02843034916427
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:31:57,00:31:57,0.0,"173,11",corto,11,9.0,"111,7",,,,1917.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,172.88006655918144,110.99225601680946,11.455336880038587,7.3659017763202534
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,falta,,00:31:59,00:31:59,0.0,"127,4",recibida,,11.0,,,,,1919.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,126.88117007380254,,4.188422342819617,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:32:27,00:32:27,0.0,"95,33",corto,4,6.0,"84,91",,,,1947.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,94.65054822108094,83.86008262403438,32.884406734202386,91.4094404107743
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:32:30,00:32:30,0.0,"74,93",corto,5,4.0,"99,132",,,,1950.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,73.62348943816275,98.90270782805369,92.88512213237732,131.74685876563268
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:32:33,00:32:33,0.0,"101,90",medio,2,5.0,"111,31",,,,1953.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,101.35987252276826,111.18202120376353,90.36635735074364,30.917363421796708
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:32:35,00:32:35,0.0,"92,85",medio,3,2.0,"164,9",,,,1955.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,92.2970662386054,164.32420637230945,85.1112938562128,8.927358965058469
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:32:40,00:32:40,0.0,"214,12",corto,10,3.0,"236,18",,,,1960.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,213.9487363019773,235.92386521709113,11.588931381911964,18.204906729807426
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:32:41,00:32:41,0.0,"270,10",medio,8,10.0,"250,66",,,,1961.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,269.8131230606707,250.31248046648903,9.711411368047917,65.74062797612679
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:32:53,00:32:53,0.0,"99,89",corto,7,8.0,"107,120",,,,1973.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,99.08760493158486,107.08122627760133,89.3027856423893,119.82903269814325
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:32:59,00:32:59,0.0,"100,155",medio,6,7.0,"46,160",,,,1979.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,99.97075079950397,45.67511713702502,155.41241522095666,160.1405535534089
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:33:03,00:33:03,0.0,"76,69",medio,3,6.0,"98,14",,,,1983.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,75.87937092755712,98.22600900735719,68.51870281314197,13.74343030410225
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:33:09,00:33:09,0.0,"172,23",corto,10,3.0,"150,8",,,,1989.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,172.0836636337653,150.1156110299085,22.9882697392013,7.577574232785345
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:33:13,00:33:13,0.0,"171,27",medio,2,10.0,"106,15",,,,1993.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,171.1655857659582,105.76465734200548,27.035013131888043,14.535740555038423
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:33:16,00:33:16,0.0,"99,25",largo,Rival,2.0,"222,12",,,,1996.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,98.82528306004794,222.20872271545952,24.72558946929667,11.900934749306998
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,perdida,,00:33:17,00:33:17,0.0,"100,18",error tecnico,Rival,2.0,"218,30",,,,1997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,100.17950064077336,217.60808540891844,17.52453257917565,30.06719756220858
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:33:28,00:33:28,0.0,"210,17",corto,2,10.0,"143,9",,,,2008.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,210.06293611213115,143.28273846102692,17.025591874692974,9.129101396850299
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:33:45,00:33:45,0.0,"148,62",inteligente,9,5.0,"183,122",,,,2025.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,148.15146924485057,183.10792563250754,61.55169214925949,121.68040365056336
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,arquero,,00:34:36,00:34:36,0.0,"10,86",mano a mano,,1.0,,,Malo,,2076.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,10.339885890439021,,85.75133857440517,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,gol rival,,00:34:36,00:34:36,0.0,"25,75",indirecta,,,,,,,2076.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,24.78046573875229,,75.22309989051402,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,falta,,00:36:08,00:36:08,0.0,"168,40",hecha,,2.0,,,,,2168.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,167.74231304867854,,40.27237011841869,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:36:54,00:36:54,0.0,"84,100",corto,1,2.0,"23,82",,,,2214.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,83.66043040603796,23.081178885104304,100.46881421696153,81.58660747035358
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:36:55,00:36:55,0.0,"30,88",largo,9,1.0,"165,97",,,,2215.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,30.030290846236436,165.09225522731344,87.53074325919765,97.12855807400328
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:36:59,00:36:59,0.0,"145,71",corto,7,9.0,"206,137",,,,2219.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,144.81889454023388,206.37250441336508,71.27450922355102,137.32723588874444
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:37:09,00:37:09,0.0,"218,140",corto,10,7.0,"214,139",,,,2229.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,218.16464839113755,214.29428716855588,140.49050917330115,139.16061389436499
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:37:10,00:37:10,0.0,"214,121",corto,4,10.0,"264,138",,,,2230.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,214.46324914220298,264.06733517006813,121.1239097843386,138.3548034539645
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,perdida,,00:37:10,00:37:10,0.0,"189,132",interceptado,,10.0,,,,,2230.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,188.87872253740187,,131.74777391299438,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:37:28,00:37:28,0.0,"217,79",corto,10,8.0,"204,88",,,,2248.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,217.284346994857,204.4299388238141,78.85962654237325,88.22207690777381
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,pase,,00:37:30,00:37:30,0.0,"185,98",corto,3,10.0,"204,81",,,,2250.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,185.2693405136147,203.86436512135893,97.54900637815459,81.40215528672215
