Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Dificultad,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:13:15,00:13:15,0.0,"56,122",corto,4,2.0,"96,132",,,795.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,56.27345525974778,95.9710898583511,121.67573901521163,132.00468043436368
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:13:18,00:13:18,0.0,"50,147",corto,5,4.0,"75,158",,,798.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,50.068826595795386,75.37383571800095,147.3380647975945,157.57353405198893
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:13:19,00:13:19,0.0,"63,132",corto,2,5.0,"73,148",,,799.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,63.19178964781654,72.64196956861852,132.33667012543435,147.54881739709185
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:13:22,00:13:22,0.0,"73,128",corto,5,2.0,"51,71",,,802.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,72.52623020883601,50.772571827370655,127.85213730932679,71.1534880383923
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:13:24,00:13:24,0.0,"63,62",corto,2,5.0,"85,124",,,804.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,62.926774628081745,84.63333954046277,62.35175097395069,123.72162939209943
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:13:28,00:13:28,0.0,"54,129",largo,9,2.0,"159,160",,,808.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,53.537866652207974,159.11830939056154,129.27325100039235,160.22791887127414
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,falta,,00:13:29,00:13:29,0.0,"197,151",recibida,,9.0,,,,809.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,196.79430230204974,,151.49263075353988,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:14:55,00:14:55,0.0,"175,4",corto,11,10.0,"181,32",,,895.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,174.5546600592598,180.68731944791145,3.5209419390765753,31.945481493413972
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:14:55,00:14:55,0.0,"156,30",corto,10,11.0,"149,1",,,895.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,155.5513834883844,148.82006116110057,30.0325388475082,1.099728164437355
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:14:58,00:14:58,0.0,"172,80",medio,11,10.0,"237,71",,,898.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,171.64049540096775,237.3741913059559,80.40305595082161,71.05222629603598
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,perdida,,00:15:01,00:15:01,0.0,"155,62",robo,,10.0,,,,901.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,154.71265468845993,,62.20940459615663,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:15:32,00:15:32,0.0,"97,158",corto,2,4.0,"125,119",,,932.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,97.1994162208504,124.94505216980369,157.61898796392944,119.43019425227209
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:15:36,00:15:36,0.0,"68,126",corto,1,2.0,"38,90",,,936.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,67.73382212471459,38.34327823301256,125.97552324566622,89.51584003944492
