Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Dificultad,coord.final,Jugador.2,Jugador.1,Calificacion,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:02:28,00:02:28,0.0,,"250,98",9,4.0,,"267,134",corto,,148.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,266.78067486331463,249.6123502471733,133.7564463932147,98.05658822654637
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,remate cabeza,,00:02:28,00:02:28,0.0,,"249,89",Rival,9.0,,"219,65",facil,,148.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,219.2964914216717,248.58591459436926,64.51919312115055,88.99786158810655
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,perdida,,00:02:29,00:02:29,0.0,,,,9.0,,"221,95",interceptado,,149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,220.59628001253026,,95.26585830791981,
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:03:07,00:03:07,0.0,,"4,132",2,1.0,,"25,93",s arquero pie,,187.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,24.545869941729592,3.5691972853452043,92.90932084999562,132.11233554962274
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:03:18,00:03:18,0.0,,"188,87",9,2.0,,"61,122",medio,,198.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,61.352182000780715,187.7887844578846,122.42144430175101,86.68257120910653
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,perdida,,00:03:19,00:03:19,0.0,,,,2.0,,"66,136",interceptado,,199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,66.14539051623565,,136.41366655411107,
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:04:26,00:04:26,0.0,,"147,96",11,9.0,,"165,73",corto,,266.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,165.23288631661342,146.60140306783293,72.55501998738234,96.31055997727313
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:04:31,00:04:31,0.0,,"239,136",7,11.0,,"201,153",corto,,271.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,201.12154753099446,239.1608381485211,153.41702560824558,136.0774672833713
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:04:36,00:04:36,0.0,,"235,81",10,7.0,,"246,162",centro aereo,,276.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,245.57954636956848,234.65474166766967,162.0,81.26241996603277
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,perdida,,00:04:36,00:04:36,0.0,,,,7.0,,"235,151",interceptado,,276.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,235.35339530774732,,150.54562219158558,
