Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Dificultad,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,perdida,,00:17:09,00:17:09,0.0,"253,93",interceptado,,10.0,,,,1029.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,253.45305733572945,,92.59877695805349,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,falta,,00:17:23,00:17:23,0.0,"80,146",recibida,,5.0,,,,1043.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79.93357441063839,,146.00086221271835,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:17:38,00:17:38,0.0,"2,132",medio,2,1.0,"52,15",,,1058.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,1.5316591098387313,52.050798327088636,131.73720632656796,15.246910341643915
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:17:46,00:17:46,0.0,"79,6",corto,6,2.0,"72,92",,,1066.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,79.49544827339783,72.19135278805177,6.062929570005984,92.46207381995498
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:17:50,00:17:50,0.0,"78,158",corto,1,6.0,"16,74",,,1070.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,78.01255076562643,15.706188368934235,157.53833133439576,73.83398496213553
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:17:55,00:17:55,0.0,"19,84",corto,2,1.0,"31,3",,,1075.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,19.01687143809224,31.211654198137197,84.03335678364708,2.8817690279752224
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:17:59,00:17:59,0.0,"16,23",medio,5,2.0,"72,86",,,1079.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,16.05464751248633,72.28085865110768,22.831993243881712,85.67343819818618
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:00,00:18:00,0.0,"58,94",corto,8,5.0,"100,73",,,1080.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,57.83388513699147,99.862403396373,93.90794852536163,72.53270071046161
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:01,00:18:01,0.0,"98,85",corto,5,8.0,"71,66",,,1081.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,97.89951806814676,70.66492955791054,84.88053840489498,65.87342688492657
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:18:03,00:18:03,0.0,"50,92",corto,6,5.0,"61,150",,,1083.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,49.51906125454195,60.76876171547661,91.61770628609486,149.94763282839472
