Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Dificultad,coord.final,Jugador.2,Jugador.1,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:30:20,00:30:20,0.0,,"174,28",2,8.0,"189,36",corto,,1820.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,189.03235051150807,174.12677567877756,35.768971099669436,28.15248187577812
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:30:25,00:30:25,0.0,,"56,88",6,2.0,"102,37",medio,,1825.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,101.81867159949073,56.104979724758714,37.231966490998296,88.19738364292854
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:30:29,00:30:29,0.0,,"93,79",5,6.0,"94,70",corto,,1829.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,94.46653541459972,92.95736925033515,70.03431788518829,78.98530345158088
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,perdida,,00:30:29,00:30:29,0.0,,,,5.0,"94,62",robo,,1829.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,94.13956955401659,,62.463433941475664,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:30:32,00:30:32,0.0,,"33,67",1,6.0,"122,68",medio,,1832.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,121.7681781415957,32.79406968076589,67.50691558450815,66.76823795590091
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,falta,,00:31:46,00:31:46,0.0,,,,6.0,"248,73",offside,,1906.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,247.9825266283463,,73.109097638564,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:32:40,00:32:40,0.0,,"252,142",9,5.0,"115,125",largo,,1960.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,115.08106605909731,251.77380488276518,124.67836162348668,141.5002419320021
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,falta,,00:34:44,00:34:44,0.0,,,,11.0,"125,16",recibida,,2084.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,124.7268372710734,,16.418551206356966,
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:34:59,00:34:59,0.0,,"163,147",10,2.0,"94,83",medio,,2099.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,94.28434779878326,163.22711437579025,83.36017490754317,147.02823092349132
2022/05/29,River Semifinal,completo,18:28:07,21:01:17,pase,,00:35:09,00:35:09,0.0,,"269,134",11,10.0,"164,124",medio,,2109.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,163.66772149928153,268.6857573394021,123.62671607990565,134.3070069248779
