Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.final,Jugador.2,Calificacion,coord.inicial,Jugador.1,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:19:40,00:19:40,0.0,"164,30",10,,"77,20",6.0,corto,,1180.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,76.55108070502851,164.33393898166884,20.34191837954711,30.0325081549182
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,perdida,,00:19:40,00:19:40,0.0,,,,"80,35",6.0,interceptado,,1180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79.56514348242779,,34.64667270338332,
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:20:16,00:20:16,0.0,"182,35",11,,"32,79",1.0,s arquero pie,,1216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.0,31.796464281934817,181.61236081573622,78.6153771667998,35.392548552093324
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,perdida,,00:20:17,00:20:17,0.0,,,,"14,66",1.0,interceptado,,1217.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13.800037197156175,,65.64635764328888,
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,falta,,00:20:51,00:20:51,0.0,,,,"109,34",9.0,recibida,,1251.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,109.15758924298223,,34.097506526382745,
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:21:10,00:21:10,0.0,"146,128",4,,"113,18",10.0,medio,,1270.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,112.87123190377808,146.37900627976768,17.90460277204475,128.23776165814826
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:21:18,00:21:18,0.0,"200,91",9,,"165,150",4.0,corto,,1278.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,165.13876264130957,199.7812372772572,150.4890178145173,91.40552331943869
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:21:30,00:21:30,0.0,"109,96",6,,"178,23",3.0,corto,,1290.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,177.73257113852458,108.7557390645014,23.437248144157653,95.84894851766444
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:21:34,00:21:34,0.0,"189,146",4,,"114,74",6.0,medio,,1294.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,114.32684900619532,189.10733789313258,74.08493323345958,146.20167612888417
2022/07/13,pases Newells,Newells,13:04:47,15:19:37,pase,,00:21:40,00:21:40,0.0,"144,132",2,,"222,126",4.0,corto,,1300.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,221.97576076228103,144.24026052150438,125.61402027051702,132.40136437115376
