Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.final,Jugador.2,Jugador.1,Calificacion,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:18:59,00:18:59,0.0,"69,4",3,6.0,,"58,20",corto,,1139.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,58.057569416514234,69.04477543325162,19.798286867826153,4.345320461871545
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:19:01,00:19:01,0.0,"82,12",6,3.0,,"51,40",corto,,1141.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,51.21106556449885,82.06111953273613,40.31505611046152,12.230528995876774
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:19:07,00:19:07,0.0,"176,80",11,6.0,,"82,3",largo,,1147.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,81.55369964893455,175.99993032154558,3.4829847583392493,80.04350793251915
2022/07/06,independiente,Independiente,17:20:45,19:32:44,perdida,,00:19:10,00:19:10,0.0,,,6.0,,"49,17",interceptado,,1150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48.721892323029834,,16.59903286330757,
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:19:35,00:19:35,0.0,"110,78",11,3.0,,"62,25",medio,,1175.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,62.018838419492255,110.44329123173604,25.029756385406625,77.72354646895647
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:20:10,00:20:10,0.0,"173,128",9,4.0,,"113,146",corto,,1210.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,112.53372369125786,172.5088815076718,145.93649776500095,128.06190188453184
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:20:14,00:20:14,0.0,"260,150",7,9.0,,"155,148",medio,,1214.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,154.60346418093727,259.8343598310112,148.16625953089124,149.76779668238888
2022/07/06,independiente,Independiente,17:20:45,19:32:44,remate pie,,00:20:18,00:20:18,0.0,"272,72",Rival,7.0,,"235,162",remate bloqueado,,1218.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,234.87175611184182,272.0,162.0,72.41618249494616
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:21:39,00:21:39,0.0,"234,84",6,9.0,,"234,154",centro aereo,,1299.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,233.77292843759574,233.73645213075275,153.58521286789255,84.24497498896164
2022/07/06,independiente,Independiente,17:20:45,19:32:44,remate cabeza,,00:21:41,00:21:41,0.0,"266,66",Rival,6.0,,"251,76",remate bloqueado,,1301.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,250.99881451538897,265.91336869898834,76.44069835522026,65.77781991600965
