Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Dificultad,Jugador.2,coord.final,Calificacion,coord.inicial,Jugador.1,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:28:53,00:28:53,0.0,,3,"152,30",,"110,19",6.0,medio,,1733.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,110.37139147739686,151.5972545431844,19.137063378087483,30.19978175077702
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:29:00,00:29:00,0.0,,9,"254,37",,"179,40",3.0,largo,,1740.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,179.40765029635776,253.74506963062535,40.3330912131482,36.82526297897975
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,perdida,,00:29:00,00:29:00,0.0,,,,,"230,31",9.0,balon afuera fondo,,1740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,230.32118932868553,,31.017596431594193,
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,arquero,,00:30:42,00:30:42,0.0,,,,,"31,69",1.0,remate atajable,,1842.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30.885284864243587,,68.61143278752819,
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:30:52,00:30:52,0.0,,2,"7,132",,"0,95",1.0,s arquero mano,,1852.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,7.2816423016960385,94.57022295900005,131.8665514964548
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:30:58,00:30:58,0.0,,4,"54,160",,"55,150",2.0,corto,,1858.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,55.02841115424235,54.27842403545285,149.86266937979326,160.48196645260077
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,falta,,00:31:15,00:31:15,0.0,,,,,"79,136",4.0,recibida,,1875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,79.07211633155877,,136.10562085059624,
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:31:19,00:31:19,0.0,,3,"66,31",,"76,136",6.0,medio,,1879.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,76.37069610293469,65.80280845202898,136.16918428290936,30.641769989061334
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:31:26,00:31:26,0.0,,7,"107,41",,"107,2",3.0,corto,,1886.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,106.67283219421797,107.27451634351888,2.19538430521213,41.03693807722994
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:31:31,00:31:31,0.0,,11,"186,22",,"205,27",7.0,corto,,1891.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,204.78961547159622,185.7063780475284,26.97156958418316,21.591237536318165
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,falta,,00:31:37,00:31:37,0.0,,,,,"212,68",11.0,recibida,,1897.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,211.99668433221774,,67.97408937609275,
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,pase,,00:32:27,00:32:27,0.0,,11,"259,43",,"260,120",3.0,medio,,1947.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,260.07675197932167,258.8026023764307,119.73800171761299,42.60593199872785
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,remate pie,,00:32:29,00:32:29,0.0,,Rival,"255,72",,"232,49",11.0,corta distancia,,1949.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,231.95712768958262,254.85062033127187,49.422486256229305,71.82697576155273
2022/05/31,Lanus Final,completo,16:25:14,19:08:14,perdida,,00:32:29,00:32:29,0.0,,,,,"248,26",11.0,balon afuera fondo,,1949.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,247.84723471875554,,25.80074668776835,
