Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Optional Column
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:25:31,00:25:31,0.000,18,Interceptado,,9,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Remate pie,,00:27:17,00:27:17,0.000,15,Media distancia,Rival,5,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:27:18,00:27:18,0.000,15,Atajada,,5,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:27:54,00:27:54,0.000,3,S arquero pie,9,1,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:27:57,00:27:57,0.000,3,Atajada,,1,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:28:15,00:28:15,0.000,13,Hecha,,6,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:30:57,00:30:57,0.000,12,corto,4,6,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:30:56,00:30:56,0.000,14,corto,2,9,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:30:56,00:30:56,0.000,12,corto,4,2,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:31:02,00:31:02,0.000,15,corto,5,4,14,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:31:03,00:31:03,0.000,14,corto,11,5,18,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:31:06,00:31:06,0.000,18,corto,4,11,18,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:31:08,00:31:08,0.000,18,Balon afuera lateral,,11,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:34:01,00:34:01,0.000,18,corto,11,5,18,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Remate pie,,00:34:03,00:34:03,0.000,24,Corta distancia,Rival,11,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:34:04,00:34:04,0.000,24,Balon afuera fondo,,11,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Arquero,,00:35:55,00:35:55,0.000,5,Remate atajable,,1,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:36:04,00:36:04,0.000,4,S arquero pie,9,1,18,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:36:04,00:36:04,0.000,4,Balon afuera lateral,,1,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:37:14,00:37:14,0.000,10,corto,4,11,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:37:20,00:37:20,0.000,15,medio,9,4,21,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:37:48,00:37:48,0.000,13,corto,3,5,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:37:53,00:37:53,0.000,16,corto,9,3,21,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:40:51,00:40:51,0.000,12,corto,6,4,8,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:40:52,00:40:52,0.000,8,corto,1,6,3,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:40:56,00:40:56,0.000,3,corto,3,1,7,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:40:58,00:40:58,0.000,10,corto,10,3,13,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:40:59,00:40:59,0.000,10,corto,8,10,10,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:41:02,00:41:02,0.000,10,medio,9,8,16,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:41:03,00:41:03,0.000,10,Balon afuera lateral,,8,Volver,,
